# ID	Field	StarID	RA	Decl	I	V	P_1	dP_1
OGLE-SMC-CEP-0071	SMC139.4	2928	00:26:33.56	-74:20:52.4	17.231	17.870	1.3424841	0.0000007
OGLE-SMC-CEP-0072	SMC135.1	99	00:26:43.61	-73:32:36.2	17.057	17.606	1.3247744	0.0000005
OGLE-SMC-CEP-0073	SMC136.7	3203	00:26:44.21	-72:46:35.2	17.249	17.801	1.0678991	0.0000006
OGLE-SMC-CEP-0074	SMC135.4	85	00:26:46.58	-73:06:41.1	16.646	17.328	1.9208839	0.0000036
OGLE-SMC-CEP-0075	SMC138.3	186	00:27:04.12	-73:51:36.3	17.401	17.805	0.5429110	0.0000004
OGLE-SMC-CEP-0076	SMC135.3	244	00:27:10.87	-73:16:58.3	17.664	18.159	0.6275817	0.0000015
OGLE-SMC-CEP-0077	SMC135.1	272	00:27:22.59	-73:31:24.0	17.352	17.954	1.1858520	0.0000010
OGLE-SMC-CEP-0078	SMC135.3	32	00:27:24.58	-73:15:56.0	15.354	16.057	4.6676886	0.0000085
OGLE-SMC-CEP-0079	SMC135.2	288	00:27:25.17	-73:26:33.9	17.695	18.182	0.5795210	0.0000006
OGLE-SMC-CEP-0080	SMC135.4	104	00:27:27.27	-73:05:27.3	17.152	17.656	1.0890660	0.0000019
OGLE-SMC-CEP-0081	SMC138.2	217	00:27:27.50	-73:55:59.7	16.940	17.402	0.9651928	0.0000008
OGLE-SMC-CEP-0082	SMC138.4	5438	00:27:36.66	-73:45:41.1	15.326	16.110	5.2671731	0.0000175
OGLE-SMC-CEP-0083	SMC138.1	4343	00:27:44.48	-74:04:55.3	16.201	16.802	2.6531013	0.0000023
OGLE-SMC-CEP-0084	SMC138.1	4400	00:28:01.33	-74:04:53.1	17.195	17.848	1.3749601	0.0000022
OGLE-SMC-CEP-0085	SMC135.2	158	00:28:01.67	-73:24:35.3	16.548	17.209	2.2094282	0.0000019
OGLE-SMC-CEP-0086	SMC135.1	158	00:28:05.32	-73:33:17.3	16.564	17.098	1.8208288	0.0000094
OGLE-SMC-CEP-0087	SMC138.3	5546	00:28:14.34	-73:51:56.2	16.937	17.520	1.3846070	0.0000006
OGLE-SMC-CEP-0088	SMC138.4	5486	00:28:15.92	-73:44:17.8	16.247	16.807	1.5385259	0.0000017
OGLE-SMC-CEP-0089	SMC138.2	5677	00:28:19.47	-73:55:32.5	17.523	18.123	1.0868774	0.0000013
OGLE-SMC-CEP-0090	SMC136.4	45	00:28:24.70	-72:28:37.0	15.949	16.498	2.5754402	0.0000013
OGLE-SMC-CEP-0091	SMC138.1	4571	00:28:25.09	-74:08:42.2	17.521	18.082	0.7396874	0.0000015
OGLE-SMC-CEP-0092	SMC137.5	906	00:28:27.25	-70:51:08.1	16.964	17.517	0.9788608	0.0000006
OGLE-SMC-CEP-0093	SMC139.1	1684	00:28:27.84	-74:47:46.9	17.529	18.082	0.6854264	0.0000009
OGLE-SMC-CEP-0094	SMC134.7	102	00:28:29.79	-74:38:59.4	17.321	17.905	0.7629497	0.0000006
OGLE-SMC-CEP-0095	SMC134.6	121	00:28:30.25	-74:23:02.7	17.470	18.102	1.0554238	0.0000008
OGLE-SMC-CEP-0096	SMC138.1	4421	00:28:38.94	-74:07:29.9	17.195	17.823	1.3126416	0.0000009
OGLE-SMC-CEP-0097	SMC135.1	4577	00:28:40.59	-73:36:00.3	16.707	17.359	1.7632733	0.0000019
OGLE-SMC-CEP-0098	SMC135.2	3990	00:28:48.00	-73:20:02.1	17.019	17.482	0.8696416	0.0000006
OGLE-SMC-CEP-0099	SMC134.6	63	00:28:48.14	-74:22:02.6	16.931	17.436	0.9589712	0.0000007
OGLE-SMC-CEP-0100	SMC138.4	5603	00:28:52.33	-73:39:55.5	16.838	17.333	0.9361444	0.0000007
OGLE-SMC-CEP-0101	SMC138.1	4435	00:28:53.95	-74:04:38.9	16.924	17.394	0.9009161	0.0000008
OGLE-SMC-CEP-0102	SMC138.2	5524	00:29:07.00	-73:56:17.2	16.869	17.356	0.9654570	0.0000011
OGLE-SMC-CEP-0103	SMC136.1	2896	00:29:08.87	-72:53:09.9	15.279	16.016	4.3043308	0.0002240
OGLE-SMC-CEP-0104	SMC134.5	108	00:29:17.98	-74:19:44.4	16.749	17.397	1.8393340	0.0000009
OGLE-SMC-CEP-0105	SMC133.7	91	00:29:19.63	-74:03:01.2	16.557	17.275	1.9968059	0.0000019
OGLE-SMC-CEP-0106	SMC138.3	5494	00:29:20.64	-73:49:47.5	15.611	16.139	2.1324589	0.0000037
OGLE-SMC-CEP-0107	SMC135.3	3560	00:29:21.39	-73:16:12.7	17.340	17.846	0.7511539	0.0000008
OGLE-SMC-CEP-0108	SMC136.2	2936	00:29:23.19	-72:50:53.6	17.258	17.673	0.5114060	0.0000017
OGLE-SMC-CEP-0109	SMC135.3	3568	00:29:23.49	-73:19:25.4	17.676	18.154	0.5728902	0.0000008
OGLE-SMC-CEP-0110	SMC133.7	93	00:29:23.76	-73:57:03.3	16.901	17.539	1.7066345	0.0000010
OGLE-SMC-CEP-0111	SMC137.4	73	00:29:26.73	-70:58:45.6	17.618	18.053	0.4260724	0.0000002
OGLE-SMC-CEP-0112	SMC133.7	192	00:29:29.16	-74:03:40.2	17.656	18.249	0.7728478	0.0000010
OGLE-SMC-CEP-0113	SMC138.4	5642	00:29:34.95	-73:43:16.7	16.561	17.199	1.8699564	0.0000009
OGLE-SMC-CEP-0114	SMC135.2	3929	00:29:38.47	-73:28:02.1	16.202	16.861	1.7601520	0.0000040
OGLE-SMC-CEP-0115	SMC135.1	4531	00:29:40.54	-73:29:44.6	15.840	16.385	1.6973624	0.0000027
OGLE-SMC-CEP-0116	SMC133.6	253	00:29:44.79	-73:46:14.9	17.195	17.759	1.1369212	0.0000005
OGLE-SMC-CEP-0117	SMC133.7	3	00:29:45.96	-73:57:24.3	14.232	15.093	10.5651120	0.0000402
OGLE-SMC-CEP-0118	SMC133.8	35	00:29:49.19	-74:05:30.2	16.015	16.594	2.7119460	0.0000016
OGLE-SMC-CEP-0119	SMC135.1	4632	00:29:54.58	-73:29:00.9	16.731	17.301	1.1825088	0.0000017
OGLE-SMC-CEP-0120	SMC133.7	239	00:29:57.17	-74:00:53.0	17.731	18.242	0.9546856	0.0000005
OGLE-SMC-CEP-0121	SMC130.7	268	00:30:08.97	-73:24:11.9	17.251	17.872	1.2230914	0.0000006
OGLE-SMC-CEP-0122	SMC133.5	332	00:30:11.91	-73:44:07.0	17.294	17.841	1.1575985	0.0000005
OGLE-SMC-CEP-0123	SMC130.7	118	00:30:16.22	-73:25:11.5	16.455	16.903	1.5999979	0.0000006
OGLE-SMC-CEP-0124	SMC134.6	253	00:30:19.39	-74:29:39.1	17.595	18.063	0.6215149	0.0000004
OGLE-SMC-CEP-0125	SMC133.5	65	00:30:24.58	-73:43:23.8	16.267	16.938	1.8516275	0.0000048
OGLE-SMC-CEP-0126	SMC130.7	133	00:30:27.61	-73:27:26.2	17.147	17.751	1.3659716	0.0000006
OGLE-SMC-CEP-0127	SMC131.8	79	00:30:34.89	-72:59:09.9	17.030	17.619	1.2940489	0.0000005
OGLE-SMC-CEP-0128	SMC133.6	155	00:30:38.09	-73:50:02.0	16.581	17.067	1.2538887	0.0000011
OGLE-SMC-CEP-0129	SMC130.7	62	00:30:44.31	-73:28:10.4	16.299	17.120	2.4424941	0.0000020
OGLE-SMC-CEP-0130	SMC130.6	267	00:30:44.77	-73:14:20.3	17.343	17.835	0.7007204	0.0000012
OGLE-SMC-CEP-0131	SMC133.7	135	00:30:45.26	-74:00:53.2	17.114	17.696	1.3882473	0.0000006
OGLE-SMC-CEP-0132	SMC133.5	29	00:30:46.61	-73:37:53.3	14.900	15.642	6.6630087	0.0000133
OGLE-SMC-CEP-0133	SMC133.7	73	00:31:06.38	-73:55:17.2	15.649	16.129	2.5005945	0.0000238
OGLE-SMC-CEP-0134	SMC130.5	108	00:31:10.94	-73:05:29.9	16.197	16.822	2.3290279	0.0000018
OGLE-SMC-CEP-0135	SMC130.8	198	00:31:13.34	-73:29:01.1	16.996	17.621	1.7030681	0.0000022
OGLE-SMC-CEP-0136	SMC134.5	3419	00:31:16.94	-74:14:49.0	17.577	17.970	0.6196506	0.0000008
OGLE-SMC-CEP-0137	SMC131.7	48	00:31:18.16	-72:47:14.4	15.828	16.405	2.0538069	0.0000024
OGLE-SMC-CEP-0138	SMC131.7	227	00:31:28.31	-72:45:19.5	17.160	17.741	1.0993612	0.0000010
OGLE-SMC-CEP-0139	SMC131.7	115	00:31:34.47	-72:52:26.1	16.883	17.563	1.5102874	0.0000020
OGLE-SMC-CEP-0140	SMC133.6	5553	00:31:35.01	-73:52:42.8	16.360	16.867	1.1956615	0.0000010
OGLE-SMC-CEP-0141	SMC133.6	5555	00:31:35.59	-73:52:55.9	16.829	17.537	1.5537385	0.0000017
OGLE-SMC-CEP-0142	SMC130.8	222	00:31:35.66	-73:35:55.5	16.293	16.892	1.3613507	0.0000015
OGLE-SMC-CEP-0143	SMC131.6	97	00:31:39.69	-72:40:34.7	16.816	17.443	1.4806179	0.0000006
OGLE-SMC-CEP-0144	SMC134.6	2735	00:31:42.66	-74:26:52.9	16.942	17.395	0.6980715	0.0000021
OGLE-SMC-CEP-0145	SMC131.8	130	00:31:54.44	-72:56:24.8	16.390	17.004	2.1737466	0.0000015
OGLE-SMC-CEP-0146	SMC130.8	242	00:31:57.79	-73:37:33.0	16.578	17.267	1.8534733	0.0000011
OGLE-SMC-CEP-0147	SMC133.6	5572	00:32:00.07	-73:54:37.1	17.023	17.538	0.8427762	0.0000006
OGLE-SMC-CEP-0148	SMC133.5	5837	00:32:06.06	-73:45:18.8	16.690	17.380	2.1761686	0.0000038
OGLE-SMC-CEP-0149	SMC130.5	4312	00:32:09.98	-73:05:40.0	17.190	17.645	0.7729401	0.0000004
OGLE-SMC-CEP-0150	SMC133.7	4903	00:32:14.51	-73:56:58.4	15.419	16.097	2.8633472	0.0000170
OGLE-SMC-CEP-0151	SMC133.7	4904	00:32:14.76	-73:59:03.9	16.296	16.877	1.5329047	0.0000026
OGLE-SMC-CEP-0152	SMC133.6	5465	00:32:54.90	-73:49:19.1	13.431	14.116	15.8371435	0.0000752
OGLE-SMC-CEP-0153	SMC130.7	6126	00:32:59.41	-73:24:51.2	16.806	17.366	1.0771973	0.0000010
OGLE-SMC-CEP-0154	SMC130.8	5780	00:33:05.60	-73:32:23.4	16.176	16.805	1.6822755	0.0000037
OGLE-SMC-CEP-0155	SMC131.8	3810	00:33:05.84	-72:55:23.6	16.628	17.262	1.6340125	0.0000009
OGLE-SMC-CEP-0156	SMC134.4	67	00:33:08.08	-74:16:44.4	16.276	16.875	1.6376848	0.0000017
OGLE-SMC-CEP-0157	SMC133.6	5532	00:33:08.55	-73:52:04.8	15.704	16.351	3.5425763	0.0000025
OGLE-SMC-CEP-0158	SMC130.6	5271	00:33:14.57	-73:12:01.4	17.014	17.639	1.3845382	0.0000012
